model_name,cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_runtime,dataset,subject
Wavelet => LDA,0.5,0.65,0.6515151515151515,0.65,0.6491228070175439,0.6499999999999999,0.30000000000000004,0.30151134457776363,0:00:03.406813,BCICIV_I,BCICIV_calib_ds1g
 => LDA,0.5,0.425,0.4232736572890025,0.425,0.4217473287240729,0.42500000000000004,-0.1499999999999999,-0.1517165212272521,0:00:50.202427,BCICIV_I,BCICIV_calib_ds1e
 => LDA,0.5,0.3448275862068966,0.3833594566353187,0.3448275862068966,0.35373968235662384,0.5031007751937984,0.1257437524791749,0.1278409150255421,0:00:08.385783,BCICIV_II,A09T
 => SVM,0.499,0.5035714285714286,0.5036129032258064,0.5035714285714286,0.5021426287176207,0.5035714285714286,0.0071428571428571175,0.007184212081070996,0:00:02.185760,BCICIV_I,all
Wavelet => LDA,0.498,0.5178571428571429,0.5180124543255623,0.5178571428571429,0.5168155846147946,0.5178571428571429,0.0357142857142857,0.035869260940215975,0:00:13.178751,BCICIV_I,all
Wavelet => LDA,0.498,0.5178571428571429,0.5180124543255623,0.5178571428571429,0.5168155846147946,0.5178571428571429,0.0357142857142857,0.035869260940215975,0:00:13.178751,BCICIV_I,all
Wavelet -> Time Domain Features => SVM,0.496,0.5172413793103449,0.5152129817444219,0.5172413793103449,0.513759946949602,0.5142857142857143,0.028708133971292016,0.028988551782622423,0:00:00.015292,BCICIV_II,A04T
PSD -> Time Domain Features -> STD_Scaler => LDA,0.496,0.5172413793103449,0.5235109717868338,0.5172413793103449,0.5102785145888594,0.5214285714285714,0.04245283018867918,0.044136741475237475,0:00:00.128440,BCICIV_II,A04T
PSD -> Time Domain Features -> STD_Scaler => KNN,0.496,0.4827586206896552,0.4839080459770115,0.4827586206896552,0.4827586206896552,0.4833333333333334,-0.03325415676959609,-0.03333333333333333,0:00:00.006956,BCICIV_II,A04T
PSD -> Time Domain Features -> STD_Scaler => SVM,0.494,0.425,0.424812030075188,0.425,0.42464040025015637,0.425,-0.1499999999999999,-0.15018785229652767,0:00:00.018454,BCICIV_I,BCICIV_calib_ds1c
Wavelet -> Time Domain Features => SVM,0.494,0.275,0.27443609022556387,0.275,0.27454659161976236,0.275,-0.44999999999999996,-0.450563556889583,0:00:46.437573,BCICIV_I,BCICIV_calib_ds1d
STD_Scaler => SVM,0.491,0.4827586206896552,0.48209549071618046,0.4827586206896552,0.48019987675160086,0.5736434108527132,0.3092497022628027,0.3101139222429067,0:00:00.160178,BCICIV_II,A09T
 => LDA,0.491,0.3275862068965517,0.3235802990113335,0.3275862068965517,0.31198809462263943,0.44961240310077516,0.10628210193599374,0.10884103663518839,0:00:08.218758,BCICIV_II,A02T
 => LDA,0.491,0.3275862068965517,0.3235802990113335,0.3275862068965517,0.31198809462263943,0.44961240310077516,0.10628210193599374,0.10884103663518839,0:00:08.535668,BCICIV_II,A02T
 => KNN,0.488,0.625,0.6253132832080202,0.625,0.6247654784240151,0.625,0.25,0.25031308716087947,0:00:00.091238,BCICIV_I,BCICIV_calib_ds1d
PSD -> Time Domain Features -> STD_Scaler => LDA,0.488,0.55,0.554945054945055,0.55,0.5396419437340153,0.5499999999999999,0.09999999999999998,0.10482848367219183,0:00:00.422993,BCICIV_I,BCICIV_calib_ds1d
bandpass -> PSD => LDA,0.488,0.475,0.474937343358396,0.475,0.474671669793621,0.475,-0.050000000000000044,-0.05006261743217589,0:00:11.742661,BCICIV_I,BCICIV_calib_ds1b
bandpass -> PSD => LDA,0.488,0.45,0.44791666666666663,0.45,0.4444444444444445,0.45,-0.10000000000000009,-0.10206207261596575,0:00:11.039664,BCICIV_I,BCICIV_calib_ds1d
 => SVM,0.488,0.425,0.424812030075188,0.425,0.42464040025015637,0.425,-0.1499999999999999,-0.15018785229652767,0:00:00.129012,BCICIV_I,BCICIV_calib_ds1d
bandpass -> PSD => KNN,0.488,0.375,0.36666666666666664,0.375,0.3650793650793651,0.375,-0.25,-0.25819888974716115,0:00:00.048436,BCICIV_I,BCICIV_calib_ds1d
STD_Scaler => SVM,0.487,0.43103448275862066,0.4526193780597539,0.43103448275862066,0.4246388461619719,0.4294573643410853,0.24228028503562937,0.24670841768405596,0:00:00.162081,BCICIV_II,A01T
STD_Scaler => SVM,0.487,0.43103448275862066,0.4526193780597539,0.43103448275862066,0.4246388461619719,0.4294573643410853,0.24228028503562937,0.24670841768405596,0:00:00.159918,BCICIV_II,A01T
